iteration          time             xO2              xO              xN             xCO             xCN             xC3          xE(s1)          xC(b1)
     1050    5.2500E-02    2.929920E-07    1.000000E-20    2.978271E-06    2.525646E-02    4.750433E-02    1.000215E+00    7.500000E-06    1.000000E+00
     1075    5.3750E-02    2.272257E-07    1.000000E-20    2.365100E-06    2.525660E-02    4.750494E-02    1.007444E+00    7.500000E-06    1.000000E+00
     1100    5.5000E-02    1.762215E-07    1.000000E-20    1.878169E-06    2.525670E-02    4.750543E-02    1.014335E+00    7.500000E-06    1.000000E+00
     1125    5.6250E-02    1.366660E-07    1.000000E-20    1.491488E-06    2.525678E-02    4.750582E-02    1.020904E+00    7.500000E-06    1.000000E+00
     1150    5.7500E-02    1.059893E-07    1.000000E-20    1.184418E-06    2.525684E-02    4.750612E-02    1.027165E+00    7.500000E-06    1.000000E+00
     1175    5.8750E-02    8.219847E-08    1.000000E-20    9.405681E-07    2.525689E-02    4.750637E-02    1.033133E+00    7.500000E-06    1.000000E+00
     1200    6.0000E-02    6.374782E-08    1.000000E-20    7.469224E-07    2.525692E-02    4.750656E-02    1.038822E+00    7.500000E-06    1.000000E+00
     1225    6.1250E-02    4.943869E-08    1.000000E-20    5.931447E-07    2.525695E-02    4.750671E-02    1.044245E+00    7.500000E-06    1.000000E+00
     1250    6.2500E-02    3.834145E-08    1.000000E-20    4.710271E-07    2.525697E-02    4.750684E-02    1.049415E+00    7.500000E-06    1.000000E+00
     1275    6.3750E-02    2.973515E-08    1.000000E-20    3.740512E-07    2.525699E-02    4.750693E-02    1.054342E+00    7.500000E-06    1.000000E+00
     1300    6.5000E-02    2.306066E-08    1.000000E-20    2.970409E-07    2.525700E-02    4.750701E-02    1.059039E+00    7.500000E-06    1.000000E+00
     1325    6.6250E-02    1.788436E-08    1.000000E-20    2.358856E-07    2.525701E-02    4.750707E-02    1.063517E+00    7.500000E-06    1.000000E+00
     1350    6.7500E-02    1.386995E-08    1.000000E-20    1.873211E-07    2.525702E-02    4.750712E-02    1.067784E+00    7.500000E-06    1.000000E+00
     1375    6.8750E-02    1.075664E-08    1.000000E-20    1.487551E-07    2.525703E-02    4.750716E-02    1.071853E+00    7.500000E-06    1.000000E+00
     1400    7.0000E-02    8.342152E-09    1.000000E-20    1.181291E-07    2.525703E-02    4.750719E-02    1.075730E+00    7.500000E-06    1.000000E+00
     1425    7.1250E-02    6.469633E-09    1.000000E-20    9.380851E-08    2.525704E-02    4.750721E-02    1.079427E+00    7.500000E-06    1.000000E+00
     1450    7.2500E-02    5.017429E-09    1.000000E-20    7.449505E-08    2.525704E-02    4.750723E-02    1.082950E+00    7.500000E-06    1.000000E+00
     1475    7.3750E-02    3.891194E-09    1.000000E-20    5.915788E-08    2.525704E-02    4.750725E-02    1.086309E+00    7.500000E-06    1.000000E+00
     1500    7.5000E-02    3.017758E-09    1.000000E-20    4.697836E-08    2.525704E-02    4.750726E-02    1.089511E+00    7.500000E-06    1.000000E+00
     1525    7.6250E-02    2.340378E-09    1.000000E-20    3.730637E-08    2.525704E-02    4.750727E-02    1.092563E+00    7.500000E-06    1.000000E+00
     1550    7.7500E-02    1.815046E-09    1.000000E-20    2.962567E-08    2.525705E-02    4.750728E-02    1.095472E+00    7.500000E-06    1.000000E+00
     1575    7.8750E-02    1.407632E-09    1.000000E-20    2.352629E-08    2.525705E-02    4.750728E-02    1.098245E+00    7.500000E-06    1.000000E+00
     1600    8.0000E-02    1.091669E-09    1.000000E-20    1.868266E-08    2.525705E-02    4.750729E-02    1.100888E+00    7.500000E-06    1.000000E+00
     1625    8.1250E-02    8.466275E-10    1.000000E-20    1.483624E-08    2.525705E-02    4.750729E-02    1.103407E+00    7.500000E-06    1.000000E+00
     1650    8.2500E-02    6.565896E-10    1.000000E-20    1.178173E-08    2.525705E-02    4.750730E-02    1.105809E+00    7.500000E-06    1.000000E+00
     1675    8.3750E-02    5.092084E-10    1.000000E-20    9.356086E-09    2.525705E-02    4.750730E-02    1.108099E+00    7.500000E-06    1.000000E+00
     1700    8.5000E-02    3.949091E-10    1.000000E-20    7.429839E-09    2.525705E-02    4.750730E-02    1.110281E+00    7.500000E-06    1.000000E+00
     1725    8.6250E-02    3.062660E-10    1.000000E-20    5.900171E-09    2.525705E-02    4.750730E-02    1.112361E+00    7.500000E-06    1.000000E+00
     1750    8.7500E-02    2.375201E-10    1.000000E-20    4.685433E-09    2.525705E-02    4.750730E-02    1.114344E+00    7.500000E-06    1.000000E+00
     1775    8.8750E-02    1.842052E-10    1.000000E-20    3.720788E-09    2.525705E-02    4.750730E-02    1.116234E+00    7.500000E-06    1.000000E+00
     1800    9.0000E-02    1.428577E-10    1.000000E-20    2.954746E-09    2.525705E-02    4.750730E-02    1.118036E+00    7.500000E-06    1.000000E+00
     1825    9.1250E-02    1.107912E-10    1.000000E-20    2.346418E-09    2.525705E-02    4.750731E-02    1.119753E+00    7.500000E-06    1.000000E+00
     1850    9.2500E-02    8.592246E-11    1.000000E-20    1.863333E-09    2.525705E-02    4.750731E-02    1.121390E+00    7.500000E-06    1.000000E+00
     1875    9.3750E-02    6.663590E-11    1.000000E-20    1.479707E-09    2.525705E-02    4.750731E-02    1.122951E+00    7.500000E-06    1.000000E+00
     1900    9.5000E-02    5.167850E-11    1.000000E-20    1.175062E-09    2.525705E-02    4.750731E-02    1.124438E+00    7.500000E-06    1.000000E+00
     1925    9.6250E-02    4.007850E-11    1.000000E-20    9.331386E-10    2.525705E-02    4.750731E-02    1.125856E+00    7.500000E-06    1.000000E+00
     1950    9.7500E-02    3.108229E-11    1.000000E-20    7.410224E-10    2.525705E-02    4.750731E-02    1.127208E+00    7.500000E-06    1.000000E+00
     1975    9.8750E-02    2.410542E-11    1.000000E-20    5.884594E-10    2.525705E-02    4.750731E-02    1.128496E+00    7.500000E-06    1.000000E+00
     2000    1.0000E-01    1.869460E-11    1.000000E-20    4.673064E-10    2.525705E-02    4.750731E-02    1.129724E+00    7.500000E-06    1.000000E+00
     2025    1.0125E-01    1.449833E-11    1.000000E-20    3.710966E-10    2.525705E-02    4.750731E-02    1.130895E+00    7.500000E-06    1.000000E+00
     2050    1.0250E-01    1.124396E-11    1.000000E-20    2.946946E-10    2.525705E-02    4.750731E-02    1.132011E+00    7.500000E-06    1.000000E+00
     2075    1.0375E-01    8.720091E-12    1.000000E-20    2.340223E-10    2.525705E-02    4.750731E-02    1.133075E+00    7.500000E-06    1.000000E+00
     2100    1.0500E-01    6.762739E-12    1.000000E-20    1.858414E-10    2.525705E-02    4.750731E-02    1.134089E+00    7.500000E-06    1.000000E+00
     2125    1.0625E-01    5.244743E-12    1.000000E-20    1.475801E-10    2.525705E-02    4.750731E-02    1.135055E+00    7.500000E-06    1.000000E+00
