iteration          time            xCO2             xCO             xO2              xO          xE(s1)         xCO(s1)          xO(s1)
    23000    4.6000E-01    9.235417E-01    2.660443E-02    1.260742E-02    1.841346E-04    1.576540E-05    1.650787E-10    2.734434E-06
    23500    4.7000E-01    9.235417E-01    2.660443E-02    1.260742E-02    1.841346E-04    1.576540E-05    1.650786E-10    2.734434E-06
    24000    4.8000E-01    9.235417E-01    2.660442E-02    1.260742E-02    1.841346E-04    1.576540E-05    1.650786E-10    2.734434E-06
    24500    4.9000E-01    9.235417E-01    2.660442E-02    1.260742E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    25000    5.0000E-01    9.235417E-01    2.660442E-02    1.260742E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    25500    5.1000E-01    9.235417E-01    2.660442E-02    1.260742E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    26000    5.2000E-01    9.235417E-01    2.660442E-02    1.260742E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    26500    5.3000E-01    9.235417E-01    2.660442E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    27000    5.4000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    27500    5.5000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    28000    5.6000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    28500    5.7000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    29000    5.8000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    29500    5.9000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    30000    6.0000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    30500    6.1000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    31000    6.2000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    31500    6.3000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    32000    6.4000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    32500    6.5000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    33000    6.6000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    33500    6.7000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    34000    6.8000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    34500    6.9000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
