iteration          time            xCO2             xCO             xO2              xO          xE(s1)         xCO(s1)          xO(s1)
        0    0.0000E+00    5.279926E-01    4.221535E-01    1.683803E-01    8.419017E-02    1.850000E-05    1.000000E-15    1.000000E-15
      500    1.0000E-02    7.020168E-01    2.481294E-01    1.232667E-01    3.882556E-04    1.353617E-05    1.317576E-09    4.962510E-06
     1000    2.0000E-02    7.901835E-01    1.599627E-01    7.920811E-02    3.392521E-04    1.401225E-05    8.795593E-10    4.486872E-06
     1500    3.0000E-02    8.424767E-01    1.076695E-01    5.308352E-02    2.956647E-04    1.446419E-05    6.113014E-10    4.035196E-06
     2000    4.0000E-02    8.747143E-01    7.543184E-02    3.698359E-02    2.583280E-04    1.487480E-05    4.405473E-10    3.624764E-06
     2500    5.0000E-02    8.953680E-01    5.477814E-02    2.667261E-02    2.269336E-04    1.523829E-05    3.278197E-10    3.261382E-06
     3000    6.0000E-02    9.090909E-01    4.105522E-02    1.982443E-02    2.007008E-04    1.555577E-05    2.508666E-10    2.943978E-06
     3500    7.0000E-02    9.185182E-01    3.162796E-02    1.512191E-02    1.787583E-04    1.583156E-05    1.967240E-10    2.668239E-06
     4000    8.0000E-02    9.251917E-01    2.495441E-02    1.179448E-02    1.603102E-04    1.607104E-05    1.575878E-10    2.428799E-06
     4500    9.0000E-02    9.300439E-01    2.010222E-02    9.376298E-03    1.446879E-04    1.627953E-05    1.286108E-10    2.220342E-06
     5000    1.0000E-01    9.336565E-01    1.648969E-02    7.576793E-03    1.313504E-04    1.646182E-05    1.066926E-10    2.038077E-06
     5500    1.1000E-01    9.364031E-01    1.374304E-02    6.209290E-03    1.198674E-04    1.662203E-05    8.979604E-11    1.877878E-06
     6000    1.2000E-01    9.385307E-01    1.161550E-02    5.150572E-03    1.098989E-04    1.676365E-05    7.654861E-11    1.736275E-06
     6500    1.3000E-01    9.402061E-01    9.940021E-03    4.317259E-03    1.011758E-04    1.688955E-05    6.600438E-11    1.610382E-06
     7000    1.4000E-01    9.415452E-01    8.600972E-03    3.651637E-03    9.348449E-05    1.700213E-05    5.749772E-11    1.497812E-06
     7500    1.5000E-01    9.426295E-01    7.516610E-03    3.112921E-03    8.665458E-05    1.710336E-05    5.055130E-11    1.396593E-06
     8000    1.6000E-01    9.435181E-01    6.628063E-03    2.671746E-03    8.054893E-05    1.719487E-05    4.481680E-11    1.305087E-06
     8500    1.7000E-01    9.442539E-01    5.892201E-03    2.306603E-03    7.505658E-05    1.727802E-05    4.003602E-11    1.221938E-06
     9000    1.8000E-01    9.448692E-01    5.276926E-03    2.001488E-03    7.008703E-05    1.735395E-05    3.601477E-11    1.146012E-06
     9500    1.9000E-01    9.453881E-01    4.758006E-03    1.744323E-03    6.556591E-05    1.742361E-05    3.260502E-11    1.076358E-06
