iteration          time            xCO2             xCO             xO2              xO          xE(s1)         xCO(s1)          xO(s1)
    10000    2.0000E-01    9.458292E-01    4.316908E-03    1.525874E-03    6.143172E-05    1.748779E-05    2.969256E-11    1.012178E-06
    10500    2.1000E-01    9.462069E-01    3.939284E-03    1.338991E-03    5.763322E-05    1.754718E-05    2.718827E-11    9.527929E-07
    11000    2.2000E-01    9.465322E-01    3.613907E-03    1.178082E-03    5.412744E-05    1.760235E-05    2.502191E-11    8.976275E-07
    11500    2.3000E-01    9.468143E-01    3.331895E-03    1.038727E-03    5.087813E-05    1.765379E-05    2.313752E-11    8.461890E-07
    12000    2.4000E-01    9.470600E-01    3.086160E-03    9.173955E-04    4.785453E-05    1.770192E-05    2.149020E-11    7.980545E-07
    12500    2.5000E-01    9.472752E-01    2.870996E-03    8.112481E-04    4.503038E-05    1.774712E-05    2.004358E-11    7.528589E-07
    13000    2.6000E-01    9.474644E-01    2.681770E-03    7.179797E-04    4.238316E-05    1.778970E-05    1.876795E-11    7.102858E-07
    13500    2.7000E-01    9.476315E-01    2.514691E-03    6.357056E-04    3.989344E-05    1.782992E-05    1.763895E-11    6.700599E-07
    14000    2.8000E-01    9.477795E-01    2.366641E-03    5.628741E-04    3.754438E-05    1.786804E-05    1.663638E-11    6.319406E-07
    14500    2.9000E-01    9.479111E-01    2.235032E-03    4.981994E-04    3.532135E-05    1.790427E-05    1.574347E-11    5.957168E-07
    15000    3.0000E-01    9.480284E-01    2.117708E-03    4.406095E-04    3.321154E-05    1.793878E-05    1.494614E-11    5.612027E-07
    15500    3.1000E-01    9.481333E-01    2.012860E-03    3.892058E-04    3.120374E-05    1.797175E-05    1.423258E-11    5.282341E-07
    16000    3.2000E-01    9.482272E-01    1.918964E-03    3.432312E-04    2.928806E-05    1.800332E-05    1.359277E-11    4.966659E-07
    16500    3.3000E-01    9.483114E-01    1.834728E-03    3.020445E-04    2.745580E-05    1.803362E-05    1.301823E-11    4.663688E-07
    17000    3.4000E-01    9.483871E-01    1.759054E-03    2.651004E-04    2.569925E-05    1.806276E-05    1.250170E-11    4.372283E-07
    17500    3.5000E-01    9.484551E-01    1.691004E-03    2.319335E-04    2.401158E-05    1.809085E-05    1.203698E-11    4.091422E-07
    18000    3.6000E-01    9.485164E-01    1.629775E-03    2.021447E-04    2.238674E-05    1.811797E-05    1.161873E-11    3.820196E-07
    18500    3.7000E-01    9.485715E-01    1.574673E-03    1.753906E-04    2.081937E-05    1.814421E-05    1.124236E-11    3.557797E-07
    19000    3.8000E-01    9.486210E-01    1.525102E-03    1.513753E-04    1.930475E-05    1.816964E-05    1.090390E-11    3.303509E-07
    19500    3.9000E-01    9.486656E-01    1.480546E-03    1.298423E-04    1.783871E-05    1.819432E-05    1.059989E-11    3.056702E-07
    20000    4.0000E-01    9.487056E-01    1.440555E-03    1.105694E-04    1.641765E-05    1.821831E-05    1.032734E-11    2.816831E-07
    20500    4.1000E-01    9.487414E-01    1.404739E-03    9.336302E-05    1.503847E-05    1.824165E-05    1.008364E-11    2.583428E-07
    21000    4.2000E-01    9.487734E-01    1.372760E-03    7.805442E-05    1.369863E-05    1.826438E-05    9.866506E-12    2.356113E-07
    21500    4.3000E-01    9.488018E-01    1.344318E-03    6.449584E-05    1.239613E-05    1.828653E-05    9.673946E-12    2.134593E-07
    22000    4.4000E-01    9.488270E-01    1.319153E-03    5.255742E-05    1.112956E-05    1.830812E-05    9.504199E-12    1.918674E-07
    22500    4.5000E-01    9.488491E-01    1.297035E-03    4.212440E-05    9.898263E-06    1.832916E-05    9.355711E-12    1.708282E-07
    23000    4.6000E-01    9.488684E-01    1.277758E-03    3.309451E-05    8.702394E-06    1.834964E-05    9.227093E-12    1.503485E-07
    23500    4.7000E-01    9.488850E-01    1.261141E-03    2.537539E-05    7.543219E-06    1.836954E-05    9.117088E-12    1.304541E-07
    24000    4.8000E-01    9.488991E-01    1.247015E-03    1.888192E-05    6.423439E-06    1.838880E-05    9.024535E-12    1.111955E-07
    24500    4.9000E-01    9.489109E-01    1.235224E-03    1.353327E-05    5.347729E-06    1.840733E-05    8.948323E-12    9.265750E-08
    25000    5.0000E-01    9.489205E-01    1.225614E-03    9.249199E-06    4.323522E-06    1.842502E-05    8.887339E-12    7.497340E-08
    25500    5.1000E-01    9.489281E-01    1.218028E-03    5.945454E-06    3.362150E-06    1.844165E-05    8.840403E-12    5.834466E-08
    26000    5.2000E-01    9.489339E-01    1.212295E-03    3.527647E-06    2.480311E-06    1.845692E-05    8.806174E-12    4.306709E-08
    26500    5.3000E-01    9.489379E-01    1.208215E-03    1.883761E-06    1.701438E-06    1.847044E-05    8.783040E-12    2.955494E-08
    27000    5.4000E-01    9.489406E-01    1.205544E-03    8.768377E-07    1.055183E-06    1.848166E-05    8.769011E-12    1.833198E-08
    27500    5.5000E-01    9.489422E-01    1.203985E-03    3.437805E-07    5.707179E-07    1.849008E-05    8.761709E-12    9.913838E-09
    28000    5.6000E-01    9.489429E-01    1.203203E-03    1.109805E-07    2.595968E-07    1.849548E-05    8.758609E-12    4.507505E-09
    28500    5.7000E-01    9.489433E-01    1.202875E-03    2.977989E-08    9.737855E-08    1.849830E-05    8.757576E-12    1.689851E-09
    29000    5.8000E-01    9.489434E-01    1.202762E-03    6.965451E-09    3.050387E-08    1.849946E-05    8.757304E-12    5.290500E-10
    29500    5.9000E-01    9.489434E-01    1.202728E-03    1.509021E-09    8.297008E-09    1.849985E-05    8.757245E-12    1.438390E-10
    30000    6.0000E-01    9.489434E-01    1.202719E-03    3.164826E-10    2.048469E-09    1.849996E-05    8.757233E-12    3.550253E-11
    30500    6.1000E-01    9.489434E-01    1.202717E-03    6.565191E-11    4.753653E-10    1.849998E-05    8.757231E-12    8.237158E-12
    31000    6.2000E-01    9.489434E-01    1.202717E-03    1.357632E-11    1.060916E-10    1.849999E-05    8.757231E-12    1.838147E-12
    31500    6.3000E-01    9.489434E-01    1.202717E-03    2.805220E-12    2.309475E-11    1.849999E-05    8.757231E-12    4.001099E-13
    32000    6.4000E-01    9.489434E-01    1.202717E-03    5.795199E-13    4.946102E-12    1.849999E-05    8.757231E-12    8.568550E-14
    32500    6.5000E-01    9.489434E-01    1.202717E-03    1.197156E-13    1.047772E-12    1.849999E-05    8.757231E-12    1.815082E-14
    33000    6.6000E-01    9.489434E-01    1.202717E-03    2.473027E-14    2.203072E-13    1.849999E-05    8.757231E-12    3.816347E-15
    33500    6.7000E-01    9.489434E-01    1.202717E-03    5.108649E-15    4.608333E-14    1.849999E-05    8.757231E-12    7.982811E-16
    34000    6.8000E-01    9.489434E-01    1.202717E-03    1.055317E-15    9.604745E-15    1.849999E-05    8.757231E-12    1.663768E-16
    34500    6.9000E-01    9.489434E-01    1.202717E-03    2.180018E-16    1.996725E-15    1.849999E-05    8.757231E-12    3.458771E-17
    35000    7.0000E-01    9.489434E-01    1.202717E-03    4.503364E-17    4.143468E-16    1.849999E-05    8.757231E-12    7.177364E-18
    35500    7.1000E-01    9.489434E-01    1.202717E-03    9.302807E-18    8.587163E-17    1.849999E-05    8.757231E-12    1.487472E-18
    36000    7.2000E-01    9.489434E-01    1.202717E-03    1.921724E-18    1.778017E-17    1.849999E-05    8.757231E-12    3.079880E-19
    36500    7.3000E-01    9.489434E-01    1.202717E-03    3.969794E-19    3.679056E-18    1.849999E-05    8.757231E-12    6.372846E-20
    37000    7.4000E-01    9.489434E-01    1.202717E-03    8.200586E-20    7.609084E-19    1.849999E-05    8.757231E-12    1.318040E-20
    37500    7.5000E-01    9.489434E-01    1.202717E-03    1.694033E-20    4.746385E-19    1.849999E-05    8.757231E-12    1.000000E-20
    38000    7.6000E-01    9.489434E-01    1.202717E-03    1.000000E-20    4.716387E-19    1.849999E-05    8.757231E-12    1.000000E-20
    38500    7.7000E-01    9.489434E-01    1.202717E-03    1.000000E-20    4.716380E-19    1.849999E-05    8.757231E-12    1.000000E-20
    39000    7.8000E-01    9.489434E-01    1.202717E-03    1.000000E-20    4.716380E-19    1.849999E-05    8.757231E-12    1.000000E-20
    39500    7.9000E-01    9.489434E-01    1.202717E-03    1.000000E-20    4.716380E-19    1.849999E-05    8.757231E-12    1.000000E-20
    40000    8.0000E-01    9.489434E-01    1.202717E-03    1.000000E-20    4.716380E-19    1.849999E-05    8.757231E-12    1.000000E-20
