iteration          time             xO2              xO          xE(s1)          xO(s1)         xO2(s1)
       62    6.2000E-08    1.082445E+00    1.202717E-01    1.524240E-07    5.993993E-07    3.476777E-06
       63    6.3000E-08    1.082445E+00    1.202717E-01    1.508847E-07    6.002952E-07    3.477420E-06
       64    6.4000E-08    1.082445E+00    1.202717E-01    1.494737E-07    6.011702E-07    3.477956E-06
       65    6.5000E-08    1.082445E+00    1.202717E-01    1.481801E-07    6.020259E-07    3.478394E-06
       66    6.6000E-08    1.082445E+00    1.202717E-01    1.469940E-07    6.028635E-07    3.478742E-06
       67    6.7000E-08    1.082445E+00    1.202717E-01    1.459063E-07    6.036843E-07    3.479009E-06
       68    6.8000E-08    1.082445E+00    1.202717E-01    1.449087E-07    6.044894E-07    3.479202E-06
       69    6.9000E-08    1.082445E+00    1.202717E-01    1.439935E-07    6.052799E-07    3.479327E-06
       70    7.0000E-08    1.082445E+00    1.202717E-01    1.431539E-07    6.060567E-07    3.479389E-06
       71    7.1000E-08    1.082445E+00    1.202717E-01    1.423833E-07    6.068208E-07    3.479396E-06
       72    7.2000E-08    1.082445E+00    1.202717E-01    1.416761E-07    6.075729E-07    3.479351E-06
       73    7.3000E-08    1.082445E+00    1.202717E-01    1.410268E-07    6.083137E-07    3.479260E-06
       74    7.4000E-08    1.082445E+00    1.202717E-01    1.404305E-07    6.090439E-07    3.479126E-06
       75    7.5000E-08    1.082445E+00    1.202717E-01    1.398828E-07    6.097642E-07    3.478953E-06
       76    7.6000E-08    1.082445E+00    1.202717E-01    1.393795E-07    6.104752E-07    3.478745E-06
       77    7.7000E-08    1.082445E+00    1.202717E-01    1.389169E-07    6.111773E-07    3.478506E-06
       78    7.8000E-08    1.082445E+00    1.202717E-01    1.384917E-07    6.118710E-07    3.478237E-06
       79    7.9000E-08    1.082445E+00    1.202717E-01    1.381005E-07    6.125568E-07    3.477943E-06
       80    8.0000E-08    1.082445E+00    1.202717E-01    1.377406E-07    6.132350E-07    3.477624E-06
       81    8.1000E-08    1.082445E+00    1.202717E-01    1.374094E-07    6.139061E-07    3.477285E-06
       82    8.2000E-08    1.082445E+00    1.202717E-01    1.371043E-07    6.145704E-07    3.476925E-06
       83    8.3000E-08    1.082445E+00    1.202717E-01    1.368232E-07    6.152282E-07    3.476549E-06
       84    8.4000E-08    1.082445E+00    1.202717E-01    1.365641E-07    6.158798E-07    3.476156E-06
       85    8.5000E-08    1.082445E+00    1.202717E-01    1.363251E-07    6.165255E-07    3.475749E-06
       86    8.6000E-08    1.082445E+00    1.202717E-01    1.361046E-07    6.171654E-07    3.475330E-06
       87    8.7000E-08    1.082445E+00    1.202717E-01    1.359009E-07    6.177999E-07    3.474899E-06
       88    8.8000E-08    1.082445E+00    1.202717E-01    1.357127E-07    6.184291E-07    3.474458E-06
       89    8.9000E-08    1.082445E+00    1.202717E-01    1.355387E-07    6.190533E-07    3.474008E-06
       90    9.0000E-08    1.082445E+00    1.202717E-01    1.353776E-07    6.196726E-07    3.473550E-06
       91    9.1000E-08    1.082445E+00    1.202717E-01    1.352284E-07    6.202871E-07    3.473084E-06
       92    9.2000E-08    1.082445E+00    1.202717E-01    1.350901E-07    6.208971E-07    3.472613E-06
       93    9.3000E-08    1.082445E+00    1.202717E-01    1.349618E-07    6.215026E-07    3.472136E-06
       94    9.4000E-08    1.082445E+00    1.202717E-01    1.348426E-07    6.221038E-07    3.471654E-06
       95    9.5000E-08    1.082445E+00    1.202717E-01    1.347318E-07    6.227009E-07    3.471167E-06
       96    9.6000E-08    1.082445E+00    1.202717E-01    1.346287E-07    6.232938E-07    3.470678E-06
       97    9.7000E-08    1.082445E+00    1.202717E-01    1.345326E-07    6.238828E-07    3.470185E-06
       98    9.8000E-08    1.082445E+00    1.202717E-01    1.344430E-07    6.244678E-07    3.469689E-06
       99    9.9000E-08    1.082445E+00    1.202717E-01    1.343592E-07    6.250491E-07    3.469192E-06
      100    1.0000E-07    1.082445E+00    1.202717E-01    1.342809E-07    6.256267E-07    3.468692E-06
      101    1.0100E-07    1.082445E+00    1.202717E-01    1.342076E-07    6.262006E-07    3.468192E-06
      102    1.0200E-07    1.082445E+00    1.202717E-01    1.341388E-07    6.267710E-07    3.467690E-06
      103    1.0300E-07    1.082445E+00    1.202717E-01    1.340742E-07    6.273379E-07    3.467188E-06
