iteration          time             xO2              xO          xE(s1)          xO(s1)
      730    7.3000E-06    1.082445E+00    1.202717E-01    5.378260E-07    6.962174E-06
      740    7.4000E-06    1.082445E+00    1.202717E-01    5.274972E-07    6.972503E-06
      750    7.5000E-06    1.082445E+00    1.202717E-01    5.175650E-07    6.982435E-06
      760    7.6000E-06    1.082445E+00    1.202717E-01    5.080133E-07    6.991987E-06
      770    7.7000E-06    1.082445E+00    1.202717E-01    4.988268E-07    7.001173E-06
      780    7.8000E-06    1.082445E+00    1.202717E-01    4.899908E-07    7.010009E-06
      790    7.9000E-06    1.082445E+00    1.202717E-01    4.814913E-07    7.018509E-06
      800    8.0000E-06    1.082445E+00    1.202717E-01    4.733150E-07    7.026685E-06
      810    8.1000E-06    1.082445E+00    1.202717E-01    4.654489E-07    7.034551E-06
      820    8.2000E-06    1.082445E+00    1.202717E-01    4.578808E-07    7.042119E-06
      830    8.3000E-06    1.082445E+00    1.202717E-01    4.505990E-07    7.049401E-06
      840    8.4000E-06    1.082445E+00    1.202717E-01    4.435922E-07    7.056408E-06
      850    8.5000E-06    1.082445E+00    1.202717E-01    4.368495E-07    7.063150E-06
      860    8.6000E-06    1.082445E+00    1.202717E-01    4.303608E-07    7.069639E-06
      870    8.7000E-06    1.082445E+00    1.202717E-01    4.241160E-07    7.075884E-06
      880    8.8000E-06    1.082445E+00    1.202717E-01    4.181058E-07    7.081894E-06
      890    8.9000E-06    1.082445E+00    1.202717E-01    4.123209E-07    7.087679E-06
      900    9.0000E-06    1.082445E+00    1.202717E-01    4.067526E-07    7.093247E-06
      910    9.1000E-06    1.082445E+00    1.202717E-01    4.013927E-07    7.098607E-06
      920    9.2000E-06    1.082445E+00    1.202717E-01    3.962330E-07    7.103767E-06
      930    9.3000E-06    1.082445E+00    1.202717E-01    3.912659E-07    7.108734E-06
      940    9.4000E-06    1.082445E+00    1.202717E-01    3.864840E-07    7.113516E-06
      950    9.5000E-06    1.082445E+00    1.202717E-01    3.818802E-07    7.118120E-06
      960    9.6000E-06    1.082445E+00    1.202717E-01    3.774476E-07    7.122552E-06
      970    9.7000E-06    1.082445E+00    1.202717E-01    3.731798E-07    7.126820E-06
      980    9.8000E-06    1.082445E+00    1.202717E-01    3.690705E-07    7.130929E-06
      990    9.9000E-06    1.082445E+00    1.202717E-01    3.651137E-07    7.134886E-06
