iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
       42    8.4000E-07    9.501462E-01    2.525703E-01    1.202923E-15    1.203300E-15    6.214945E-10    7.055559E-06    1.002923E-15    4.444406E-07
       43    8.6000E-07    9.501462E-01    2.525703E-01    1.202933E-15    1.203315E-15    6.393303E-10    7.045504E-06    1.002983E-15    4.544955E-07
       44    8.8000E-07    9.501462E-01    2.525703E-01    1.202943E-15    1.203329E-15    6.572951E-10    7.035478E-06    1.003043E-15    4.645216E-07
       45    9.0000E-07    9.501462E-01    2.525703E-01    1.202954E-15    1.203343E-15    6.753886E-10    7.025481E-06    1.003102E-15    4.745187E-07
       46    9.2000E-07    9.501462E-01    2.525703E-01    1.202964E-15    1.203357E-15    6.936105E-10    7.015513E-06    1.003161E-15    4.844872E-07
       47    9.4000E-07    9.501462E-01    2.525702E-01    1.202975E-15    1.203371E-15    7.119602E-10    7.005573E-06    1.003219E-15    4.944270E-07
       48    9.6000E-07    9.501462E-01    2.525702E-01    1.202986E-15    1.203385E-15    7.304375E-10    6.995662E-06    1.003277E-15    5.043383E-07
       49    9.8000E-07    9.501462E-01    2.525702E-01    1.202997E-15    1.203399E-15    7.490421E-10    6.985779E-06    1.003334E-15    5.142213E-07
       50    1.0000E-06    9.501462E-01    2.525702E-01    1.203009E-15    1.203413E-15    7.677734E-10    6.975924E-06    1.003391E-15    5.240759E-07
       51    1.0200E-06    9.501462E-01    2.525702E-01    1.203020E-15    1.203427E-15    7.866313E-10    6.966098E-06    1.003448E-15    5.339025E-07
       52    1.0400E-06    9.501462E-01    2.525702E-01    1.203032E-15    1.203442E-15    8.056153E-10    6.956299E-06    1.003504E-15    5.437010E-07
       53    1.0600E-06    9.501462E-01    2.525702E-01    1.203044E-15    1.203456E-15    8.247250E-10    6.946528E-06    1.003559E-15    5.534716E-07
       54    1.0800E-06    9.501462E-01    2.525702E-01    1.203056E-15    1.203470E-15    8.439601E-10    6.936786E-06    1.003614E-15    5.632144E-07
       55    1.1000E-06    9.501462E-01    2.525702E-01    1.203069E-15    1.203484E-15    8.633202E-10    6.927071E-06    1.003669E-15    5.729295E-07
       56    1.1200E-06    9.501462E-01    2.525702E-01    1.203081E-15    1.203498E-15    8.828051E-10    6.917383E-06    1.003723E-15    5.826170E-07
       57    1.1400E-06    9.501462E-01    2.525702E-01    1.203094E-15    1.203512E-15    9.024143E-10    6.907723E-06    1.003777E-15    5.922770E-07
       58    1.1600E-06    9.501462E-01    2.525702E-01    1.203108E-15    1.203526E-15    9.221474E-10    6.898090E-06    1.003830E-15    6.019098E-07
