iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
       42    8.4000E-07    9.501462E-01    2.525703E-01    1.202923E-15    1.203307E-15    6.276052E-10    7.049882E-06    1.002964E-15    4.501177E-07
       43    8.6000E-07    9.501462E-01    2.525703E-01    1.202933E-15    1.203322E-15    6.454494E-10    7.039829E-06    1.003024E-15    4.601708E-07
       44    8.8000E-07    9.501462E-01    2.525703E-01    1.202943E-15    1.203336E-15    6.634229E-10    7.029805E-06    1.003083E-15    4.701949E-07
       45    9.0000E-07    9.501462E-01    2.525703E-01    1.202954E-15    1.203350E-15    6.815251E-10    7.019810E-06    1.003142E-15    4.801901E-07
       46    9.2000E-07    9.501462E-01    2.525703E-01    1.202964E-15    1.203364E-15    6.997559E-10    7.009843E-06    1.003201E-15    4.901565E-07
       47    9.4000E-07    9.501462E-01    2.525702E-01    1.202975E-15    1.203378E-15    7.181147E-10    6.999906E-06    1.003259E-15    5.000943E-07
       48    9.6000E-07    9.501462E-01    2.525702E-01    1.202986E-15    1.203392E-15    7.366013E-10    6.989996E-06    1.003317E-15    5.100036E-07
       49    9.8000E-07    9.501462E-01    2.525702E-01    1.202997E-15    1.203406E-15    7.552152E-10    6.980116E-06    1.003374E-15    5.198845E-07
       50    1.0000E-06    9.501462E-01    2.525702E-01    1.203009E-15    1.203420E-15    7.739561E-10    6.970263E-06    1.003431E-15    5.297370E-07
       51    1.0200E-06    9.501462E-01    2.525702E-01    1.203020E-15    1.203434E-15    7.928237E-10    6.960439E-06    1.003488E-15    5.395614E-07
       52    1.0400E-06    9.501462E-01    2.525702E-01    1.203032E-15    1.203449E-15    8.118175E-10    6.950642E-06    1.003544E-15    5.493577E-07
       53    1.0600E-06    9.501462E-01    2.525702E-01    1.203044E-15    1.203463E-15    8.309372E-10    6.940874E-06    1.003599E-15    5.591261E-07
       54    1.0800E-06    9.501462E-01    2.525702E-01    1.203057E-15    1.203477E-15    8.501825E-10    6.931133E-06    1.003654E-15    5.688666E-07
       55    1.1000E-06    9.501462E-01    2.525702E-01    1.203069E-15    1.203491E-15    8.695530E-10    6.921421E-06    1.003709E-15    5.785795E-07
       56    1.1200E-06    9.501462E-01    2.525702E-01    1.203082E-15    1.203505E-15    8.890483E-10    6.911735E-06    1.003763E-15    5.882647E-07
       57    1.1400E-06    9.501462E-01    2.525702E-01    1.203095E-15    1.203519E-15    9.086680E-10    6.902078E-06    1.003817E-15    5.979224E-07
       58    1.1600E-06    9.501462E-01    2.525702E-01    1.203108E-15    1.203533E-15    9.284119E-10    6.892447E-06    1.003870E-15    6.075528E-07
       59    1.1800E-06    9.501462E-01    2.525702E-01    1.203121E-15    1.203547E-15    9.482796E-10    6.882844E-06    1.003923E-15    6.171558E-07
       60    1.2000E-06    9.501462E-01    2.525702E-01    1.203135E-15    1.203561E-15    9.682707E-10    6.873268E-06    1.003975E-15    6.267317E-07
       61    1.2200E-06    9.501462E-01    2.525702E-01    1.203149E-15    1.203576E-15    9.883849E-10    6.863719E-06    1.004027E-15    6.362806E-07
       62    1.2400E-06    9.501462E-01    2.525702E-01    1.203163E-15    1.203590E-15    1.008622E-09    6.854197E-06    1.004079E-15    6.458025E-07
       63    1.2600E-06    9.501462E-01    2.525702E-01    1.203177E-15    1.203604E-15    1.028981E-09    6.844702E-06    1.004130E-15    6.552976E-07
       64    1.2800E-06    9.501462E-01    2.525702E-01    1.203191E-15    1.203618E-15    1.049462E-09    6.835234E-06    1.004181E-15    6.647660E-07
       65    1.3000E-06    9.501462E-01    2.525702E-01    1.203206E-15    1.203632E-15    1.070065E-09    6.825792E-06    1.004231E-15    6.742077E-07
       66    1.3200E-06    9.501462E-01    2.525702E-01    1.203221E-15    1.203646E-15    1.090790E-09    6.816377E-06    1.004281E-15    6.836230E-07
       67    1.3400E-06    9.501462E-01    2.525701E-01    1.203236E-15    1.203660E-15    1.111635E-09    6.806988E-06    1.004330E-15    6.930118E-07
       68    1.3600E-06    9.501462E-01    2.525701E-01    1.203251E-15    1.203675E-15    1.132601E-09    6.797626E-06    1.004379E-15    7.023744E-07
       69    1.3800E-06    9.501462E-01    2.525701E-01    1.203266E-15    1.203689E-15    1.153687E-09    6.788289E-06    1.004428E-15    7.117107E-07
       70    1.4000E-06    9.501462E-01    2.525701E-01    1.203282E-15    1.203703E-15    1.174894E-09    6.778979E-06    1.004476E-15    7.210210E-07
       71    1.4200E-06    9.501462E-01    2.525701E-01    1.203298E-15    1.203717E-15    1.196220E-09    6.769695E-06    1.004524E-15    7.303053E-07
       72    1.4400E-06    9.501462E-01    2.525701E-01    1.203314E-15    1.203731E-15    1.217665E-09    6.760436E-06    1.004571E-15    7.395637E-07
       73    1.4600E-06    9.501462E-01    2.525701E-01    1.203330E-15    1.203745E-15    1.239229E-09    6.751204E-06    1.004618E-15    7.487964E-07
       74    1.4800E-06    9.501462E-01    2.525701E-01    1.203347E-15    1.203759E-15    1.260912E-09    6.741997E-06    1.004664E-15    7.580033E-07
       75    1.5000E-06    9.501462E-01    2.525701E-01    1.203363E-15    1.203773E-15    1.282714E-09    6.732815E-06    1.004710E-15    7.671847E-07
       76    1.5200E-06    9.501462E-01    2.525701E-01    1.203380E-15    1.203788E-15    1.304633E-09    6.723659E-06    1.004756E-15    7.763407E-07
       77    1.5400E-06    9.501462E-01    2.525701E-01    1.203397E-15    1.203802E-15    1.326670E-09    6.714529E-06    1.004801E-15    7.854712E-07
       78    1.5600E-06    9.501462E-01    2.525701E-01    1.203415E-15    1.203816E-15    1.348824E-09    6.705423E-06    1.004846E-15    7.945765E-07
       79    1.5800E-06    9.501462E-01    2.525701E-01    1.203432E-15    1.203830E-15    1.371096E-09    6.696343E-06    1.004891E-15    8.036567E-07
       80    1.6000E-06    9.501462E-01    2.525701E-01    1.203450E-15    1.203844E-15    1.393484E-09    6.687288E-06    1.004935E-15    8.127117E-07
