iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
       42    8.4000E-07    9.501462E-01    2.525703E-01    1.202933E-15    1.203308E-15    6.330262E-10    7.051136E-06    1.002944E-15    4.488639E-07
       43    8.6000E-07    9.501462E-01    2.525703E-01    1.202943E-15    1.203322E-15    6.509832E-10    7.041108E-06    1.003003E-15    4.588917E-07
       44    8.8000E-07    9.501462E-01    2.525703E-01    1.202953E-15    1.203336E-15    6.690688E-10    7.031109E-06    1.003063E-15    4.688906E-07
       45    9.0000E-07    9.501462E-01    2.525703E-01    1.202964E-15    1.203350E-15    6.872824E-10    7.021139E-06    1.003121E-15    4.788609E-07
       46    9.2000E-07    9.501462E-01    2.525703E-01    1.202974E-15    1.203364E-15    7.056239E-10    7.011197E-06    1.003180E-15    4.888026E-07
       47    9.4000E-07    9.501462E-01    2.525702E-01    1.202985E-15    1.203378E-15    7.240927E-10    7.001284E-06    1.003238E-15    4.987158E-07
       48    9.6000E-07    9.501462E-01    2.525702E-01    1.202997E-15    1.203392E-15    7.426886E-10    6.991399E-06    1.003295E-15    5.086006E-07
       49    9.8000E-07    9.501462E-01    2.525702E-01    1.203008E-15    1.203406E-15    7.614112E-10    6.981543E-06    1.003352E-15    5.184572E-07
       50    1.0000E-06    9.501462E-01    2.525702E-01    1.203020E-15    1.203420E-15    7.802601E-10    6.971714E-06    1.003408E-15    5.282858E-07
       51    1.0200E-06    9.501462E-01    2.525702E-01    1.203031E-15    1.203434E-15    7.992349E-10    6.961914E-06    1.003464E-15    5.380863E-07
       52    1.0400E-06    9.501462E-01    2.525702E-01    1.203043E-15    1.203449E-15    8.183354E-10    6.952141E-06    1.003520E-15    5.478589E-07
       53    1.0600E-06    9.501462E-01    2.525702E-01    1.203056E-15    1.203463E-15    8.375611E-10    6.942396E-06    1.003575E-15    5.576038E-07
       54    1.0800E-06    9.501462E-01    2.525702E-01    1.203068E-15    1.203477E-15    8.569117E-10    6.932679E-06    1.003630E-15    5.673210E-07
       55    1.1000E-06    9.501462E-01    2.525702E-01    1.203081E-15    1.203491E-15    8.763868E-10    6.922989E-06    1.003684E-15    5.770106E-07
       56    1.1200E-06    9.501462E-01    2.525702E-01    1.203094E-15    1.203505E-15    8.959861E-10    6.913327E-06    1.003738E-15    5.866729E-07
       57    1.1400E-06    9.501462E-01    2.525702E-01    1.203107E-15    1.203519E-15    9.157092E-10    6.903692E-06    1.003791E-15    5.963078E-07
       58    1.1600E-06    9.501462E-01    2.525702E-01    1.203120E-15    1.203533E-15    9.355559E-10    6.894085E-06    1.003844E-15    6.059154E-07
       59    1.1800E-06    9.501462E-01    2.525702E-01    1.203134E-15    1.203547E-15    9.555256E-10    6.884504E-06    1.003897E-15    6.154960E-07
       60    1.2000E-06    9.501462E-01    2.525702E-01    1.203147E-15    1.203562E-15    9.756182E-10    6.874950E-06    1.003949E-15    6.250496E-07
       61    1.2200E-06    9.501462E-01    2.525702E-01    1.203161E-15    1.203576E-15    9.958332E-10    6.865424E-06    1.004000E-15    6.345763E-07
       62    1.2400E-06    9.501462E-01    2.525702E-01    1.203176E-15    1.203590E-15    1.016170E-09    6.855924E-06    1.004052E-15    6.440763E-07
       63    1.2600E-06    9.501462E-01    2.525702E-01    1.203190E-15    1.203604E-15    1.036629E-09    6.846450E-06    1.004102E-15    6.535495E-07
       64    1.2800E-06    9.501462E-01    2.525702E-01    1.203205E-15    1.203618E-15    1.057209E-09    6.837004E-06    1.004153E-15    6.629963E-07
       65    1.3000E-06    9.501462E-01    2.525702E-01    1.203219E-15    1.203632E-15    1.077911E-09    6.827583E-06    1.004203E-15    6.724165E-07
       66    1.3200E-06    9.501462E-01    2.525702E-01    1.203234E-15    1.203646E-15    1.098733E-09    6.818190E-06    1.004252E-15    6.818104E-07
       67    1.3400E-06    9.501462E-01    2.525701E-01    1.203250E-15    1.203660E-15    1.119675E-09    6.808822E-06    1.004301E-15    6.911781E-07
       68    1.3600E-06    9.501462E-01    2.525701E-01    1.203265E-15    1.203675E-15    1.140738E-09    6.799480E-06    1.004350E-15    7.005196E-07
       69    1.3800E-06    9.501462E-01    2.525701E-01    1.203281E-15    1.203689E-15    1.161920E-09    6.790165E-06    1.004398E-15    7.098351E-07
       70    1.4000E-06    9.501462E-01    2.525701E-01    1.203296E-15    1.203703E-15    1.183222E-09    6.780875E-06    1.004446E-15    7.191247E-07
       71    1.4200E-06    9.501462E-01    2.525701E-01    1.203312E-15    1.203717E-15    1.204642E-09    6.771612E-06    1.004493E-15    7.283884E-07
       72    1.4400E-06    9.501462E-01    2.525701E-01    1.203329E-15    1.203731E-15    1.226182E-09    6.762374E-06    1.004540E-15    7.376264E-07
       73    1.4600E-06    9.501462E-01    2.525701E-01    1.203345E-15    1.203745E-15    1.247839E-09    6.753161E-06    1.004587E-15    7.468388E-07
       74    1.4800E-06    9.501462E-01    2.525701E-01    1.203362E-15    1.203759E-15    1.269615E-09    6.743974E-06    1.004633E-15    7.560257E-07
       75    1.5000E-06    9.501462E-01    2.525701E-01    1.203379E-15    1.203774E-15    1.291509E-09    6.734813E-06    1.004679E-15    7.651872E-07
       76    1.5200E-06    9.501462E-01    2.525701E-01    1.203396E-15    1.203788E-15    1.313520E-09    6.725677E-06    1.004724E-15    7.743233E-07
       77    1.5400E-06    9.501462E-01    2.525701E-01    1.203413E-15    1.203802E-15    1.335648E-09    6.716566E-06    1.004769E-15    7.834342E-07
       78    1.5600E-06    9.501462E-01    2.525701E-01    1.203430E-15    1.203816E-15    1.357893E-09    6.707480E-06    1.004814E-15    7.925200E-07
