iteration         time       L1-norm       L2-norm
     118    1.1800E-02    3.9437E-07    4.4093E-07
     119    1.1900E-02    3.9417E-07    4.4070E-07
     120    1.2000E-02    3.9396E-07    4.4047E-07
     121    1.2100E-02    3.9375E-07    4.4024E-07
     122    1.2200E-02    3.9354E-07    4.4000E-07
     123    1.2300E-02    3.9334E-07    4.3977E-07
     124    1.2400E-02    3.9313E-07    4.3954E-07
     125    1.2500E-02    3.9292E-07    4.3931E-07
     126    1.2600E-02    3.9271E-07    4.3908E-07
     127    1.2700E-02    3.9251E-07    4.3884E-07
     128    1.2800E-02    3.9230E-07    4.3861E-07
     129    1.2900E-02    3.9209E-07    4.3838E-07
     130    1.3000E-02    3.9189E-07    4.3815E-07
     131    1.3100E-02    3.9168E-07    4.3792E-07
     132    1.3200E-02    3.9147E-07    4.3769E-07
     133    1.3300E-02    3.9127E-07    4.3746E-07
     134    1.3400E-02    3.9106E-07    4.3723E-07
     135    1.3500E-02    3.9086E-07    4.3700E-07
     136    1.3600E-02    3.9065E-07    4.3677E-07
     137    1.3700E-02    3.9044E-07    4.3654E-07
     138    1.3800E-02    3.9024E-07    4.3631E-07
     139    1.3900E-02    3.9003E-07    4.3608E-07
     140    1.4000E-02    3.8983E-07    4.3585E-07
     141    1.4100E-02    3.8962E-07    4.3562E-07
     142    1.4200E-02    3.8942E-07    4.3539E-07
     143    1.4300E-02    3.8921E-07    4.3516E-07
     144    1.4400E-02    3.8901E-07    4.3493E-07
     145    1.4500E-02    3.8880E-07    4.3470E-07
     146    1.4600E-02    3.8860E-07    4.3447E-07
     147    1.4700E-02    3.8839E-07    4.3424E-07
     148    1.4800E-02    3.8819E-07    4.3401E-07
     149    1.4900E-02    3.8798E-07    4.3379E-07
     150    1.5000E-02    3.8778E-07    4.3356E-07
     151    1.5100E-02    3.8757E-07    4.3333E-07
     152    1.5200E-02    3.8737E-07    4.3310E-07
     153    1.5300E-02    3.8717E-07    4.3287E-07
     154    1.5400E-02    3.8696E-07    4.3265E-07
     155    1.5500E-02    3.8676E-07    4.3242E-07
     156    1.5600E-02    3.8655E-07    4.3219E-07
     157    1.5700E-02    3.8635E-07    4.3196E-07
     158    1.5800E-02    3.8615E-07    4.3173E-07
     159    1.5900E-02    3.8594E-07    4.3151E-07
     160    1.6000E-02    3.8574E-07    4.3128E-07
     161    1.6100E-02    3.8554E-07    4.3105E-07
     162    1.6200E-02    3.8534E-07    4.3083E-07
     163    1.6300E-02    3.8513E-07    4.3060E-07
     164    1.6400E-02    3.8493E-07    4.3037E-07
     165    1.6500E-02    3.8473E-07    4.3015E-07
     166    1.6600E-02    3.8452E-07    4.2992E-07
