iteration          time             xO2              xO          xE(s1)          xO(s1)
      500    5.0000E-06    1.082449E+00    1.202676E-01    9.362113E-07    6.563789E-06
      510    5.1000E-06    1.082449E+00    1.202676E-01    9.099412E-07    6.590059E-06
      520    5.2000E-06    1.082449E+00    1.202676E-01    8.847612E-07    6.615239E-06
      530    5.3000E-06    1.082449E+00    1.202676E-01    8.606209E-07    6.639379E-06
      540    5.4000E-06    1.082449E+00    1.202675E-01    8.374726E-07    6.662527E-06
      550    5.5000E-06    1.082449E+00    1.202675E-01    8.152713E-07    6.684729E-06
      560    5.6000E-06    1.082449E+00    1.202675E-01    7.939742E-07    6.706026E-06
      570    5.7000E-06    1.082449E+00    1.202675E-01    7.735408E-07    6.726459E-06
      580    5.8000E-06    1.082449E+00    1.202674E-01    7.539327E-07    6.746067E-06
      590    5.9000E-06    1.082449E+00    1.202674E-01    7.351134E-07    6.764887E-06
      600    6.0000E-06    1.082449E+00    1.202674E-01    7.170483E-07    6.782952E-06
      610    6.1000E-06    1.082449E+00    1.202674E-01    6.997045E-07    6.800295E-06
      620    6.2000E-06    1.082449E+00    1.202673E-01    6.830509E-07    6.816949E-06
      630    6.3000E-06    1.082449E+00    1.202673E-01    6.670576E-07    6.832942E-06
      640    6.4000E-06    1.082449E+00    1.202673E-01    6.516964E-07    6.848304E-06
      650    6.5000E-06    1.082449E+00    1.202673E-01    6.369405E-07    6.863060E-06
      660    6.6000E-06    1.082449E+00    1.202673E-01    6.227641E-07    6.877236E-06
      670    6.7000E-06    1.082449E+00    1.202672E-01    6.091430E-07    6.890857E-06
      680    6.8000E-06    1.082449E+00    1.202672E-01    5.960538E-07    6.903946E-06
      690    6.9000E-06    1.082449E+00    1.202672E-01    5.834744E-07    6.916526E-06
      700    7.0000E-06    1.082449E+00    1.202672E-01    5.713836E-07    6.928616E-06
      710    7.1000E-06    1.082449E+00    1.202672E-01    5.597613E-07    6.940239E-06
      720    7.2000E-06    1.082450E+00    1.202671E-01    5.485882E-07    6.951412E-06
