iteration          time             xO2              xO          xE(s1)          xO(s1)         xO2(s1)
    60000    6.0000E-02    1.192331E+00    1.038581E-02    1.021707E-07    1.547151E-06    2.579279E-06
    61000    6.1000E-02    1.192680E+00    1.003687E-02    1.013001E-07    1.570252E-06    2.557048E-06
    62000    6.2000E-02    1.193013E+00    9.703312E-03    1.004250E-07    1.593457E-06    2.534718E-06
    63000    6.3000E-02    1.193332E+00    9.384419E-03    9.954619E-08    1.616748E-06    2.512306E-06
    64000    6.4000E-02    1.193637E+00    9.079514E-03    9.866448E-08    1.640102E-06    2.489833E-06
    65000    6.5000E-02    1.193929E+00    8.787949E-03    9.778067E-08    1.663500E-06    2.467319E-06
    66000    6.6000E-02    1.194208E+00    8.509107E-03    9.689555E-08    1.686921E-06    2.444783E-06
    67000    6.7000E-02    1.194474E+00    8.242400E-03    9.600992E-08    1.710346E-06    2.422244E-06
    68000    6.8000E-02    1.194729E+00    7.987266E-03    9.512455E-08    1.733753E-06    2.399723E-06
    69000    6.9000E-02    1.194973E+00    7.743171E-03    9.424022E-08    1.757124E-06    2.377236E-06
    70000    7.0000E-02    1.195207E+00    7.509603E-03    9.335769E-08    1.780438E-06    2.354804E-06
    71000    7.1000E-02    1.195431E+00    7.286079E-03    9.247768E-08    1.803678E-06    2.332445E-06
    72000    7.2000E-02    1.195645E+00    7.072133E-03    9.160093E-08    1.826824E-06    2.310175E-06
    73000    7.3000E-02    1.195849E+00    6.867326E-03    9.072813E-08    1.849859E-06    2.288013E-06
    74000    7.4000E-02    1.196045E+00    6.671236E-03    8.985996E-08    1.872765E-06    2.265975E-06
    75000    7.5000E-02    1.196233E+00    6.483464E-03    8.899706E-08    1.895525E-06    2.244078E-06
    76000    7.6000E-02    1.196413E+00    6.303627E-03    8.814008E-08    1.918124E-06    2.222336E-06
    77000    7.7000E-02    1.196585E+00    6.131364E-03    8.728960E-08    1.940546E-06    2.200764E-06
    78000    7.8000E-02    1.196750E+00    5.966327E-03    8.644621E-08    1.962777E-06    2.179377E-06
    79000    7.9000E-02    1.196908E+00    5.808187E-03    8.561043E-08    1.984801E-06    2.158188E-06
    80000    8.0000E-02    1.197060E+00    5.656631E-03    8.478279E-08    2.006607E-06    2.137210E-06
    81000    8.1000E-02    1.197205E+00    5.511359E-03    8.396378E-08    2.028182E-06    2.116454E-06
    82000    8.2000E-02    1.197345E+00    5.372087E-03    8.315384E-08    2.049514E-06    2.095932E-06
    83000    8.3000E-02    1.197478E+00    5.238545E-03    8.235339E-08    2.070592E-06    2.075655E-06
    84000    8.4000E-02    1.197606E+00    5.110474E-03    8.156284E-08    2.091407E-06    2.055631E-06
    85000    8.5000E-02    1.197729E+00    4.987628E-03    8.078254E-08    2.111948E-06    2.035869E-06
    86000    8.6000E-02    1.197847E+00    4.869775E-03    8.001283E-08    2.132208E-06    2.016379E-06
    87000    8.7000E-02    1.197960E+00    4.756690E-03    7.925400E-08    2.152178E-06    1.997168E-06
    88000    8.8000E-02    1.198068E+00    4.648161E-03    7.850634E-08    2.171853E-06    1.978241E-06
    89000    8.9000E-02    1.198173E+00    4.543988E-03    7.777008E-08    2.191224E-06    1.959605E-06
    90000    9.0000E-02    1.198273E+00    4.443977E-03    7.704545E-08    2.210288E-06    1.941266E-06
    91000    9.1000E-02    1.198369E+00    4.347945E-03    7.633264E-08    2.229039E-06    1.923228E-06
    92000    9.2000E-02    1.198461E+00    4.255718E-03    7.563181E-08    2.247473E-06    1.905495E-06
    93000    9.3000E-02    1.198550E+00    4.167129E-03    7.494309E-08    2.265586E-06    1.888071E-06
    94000    9.4000E-02    1.198635E+00    4.082020E-03    7.426661E-08    2.283376E-06    1.870957E-06
    95000    9.5000E-02    1.198716E+00    4.000240E-03    7.360245E-08    2.300840E-06    1.854157E-06
    96000    9.6000E-02    1.198795E+00    3.921646E-03    7.295068E-08    2.317977E-06    1.837672E-06
    97000    9.7000E-02    1.198871E+00    3.846101E-03    7.231136E-08    2.334786E-06    1.821503E-06
    98000    9.8000E-02    1.198943E+00    3.773473E-03    7.168450E-08    2.351265E-06    1.805650E-06
    99000    9.9000E-02    1.199013E+00    3.703638E-03    7.107012E-08    2.367416E-06    1.790114E-06
   100000    1.0000E-01    1.199080E+00    3.636479E-03    7.046820E-08    2.383237E-06    1.774894E-06
   101000    1.0100E-01    1.199145E+00    3.571881E-03    6.987871E-08    2.398731E-06    1.759990E-06
   102000    1.0200E-01    1.199207E+00    3.509737E-03    6.930162E-08    2.413898E-06    1.745400E-06
   103000    1.0300E-01    1.199267E+00    3.449944E-03    6.873687E-08    2.428740E-06    1.731123E-06
   104000    1.0400E-01    1.199324E+00    3.392404E-03    6.818438E-08    2.443259E-06    1.717157E-06
   105000    1.0500E-01    1.199380E+00    3.337023E-03    6.764406E-08    2.457457E-06    1.703499E-06
   106000    1.0600E-01    1.199433E+00    3.283712E-03    6.711582E-08    2.471337E-06    1.690147E-06
   107000    1.0700E-01    1.199484E+00    3.232386E-03    6.659955E-08    2.484902E-06    1.677098E-06
   108000    1.0800E-01    1.199534E+00    3.182964E-03    6.609514E-08    2.498155E-06    1.664350E-06
   109000    1.0900E-01    1.199581E+00    3.135367E-03    6.560244E-08    2.511099E-06    1.651898E-06
   110000    1.1000E-01    1.199627E+00    3.089522E-03    6.512133E-08    2.523739E-06    1.639740E-06
   111000    1.1100E-01    1.199671E+00    3.045358E-03    6.465165E-08    2.536077E-06    1.627871E-06
   112000    1.1200E-01    1.199714E+00    3.002808E-03    6.419327E-08    2.548118E-06    1.616288E-06
   113000    1.1300E-01    1.199755E+00    2.961806E-03    6.374601E-08    2.559867E-06    1.604987E-06
   114000    1.1400E-01    1.199794E+00    2.922290E-03    6.330972E-08    2.571327E-06    1.593963E-06
   115000    1.1500E-01    1.199832E+00    2.884203E-03    6.288422E-08    2.582503E-06    1.583213E-06
   116000    1.1600E-01    1.199869E+00    2.847487E-03    6.246935E-08    2.593400E-06    1.572731E-06
   117000    1.1700E-01    1.199905E+00    2.812089E-03    6.206493E-08    2.604022E-06    1.562513E-06
   118000    1.1800E-01    1.199939E+00    2.777956E-03    6.167077E-08    2.614374E-06    1.552555E-06
   119000    1.1900E-01    1.199972E+00    2.745040E-03    6.128670E-08    2.624461E-06    1.542853E-06
   120000    1.2000E-01    1.200003E+00    2.713294E-03    6.091253E-08    2.634287E-06    1.533400E-06
   121000    1.2100E-01    1.200034E+00    2.682671E-03    6.054808E-08    2.643858E-06    1.524194E-06
   122000    1.2200E-01    1.200064E+00    2.653130E-03    6.019315E-08    2.653179E-06    1.515228E-06
   123000    1.2300E-01    1.200092E+00    2.624628E-03    5.984756E-08    2.662254E-06    1.506498E-06
   124000    1.2400E-01    1.200120E+00    2.597126E-03    5.951113E-08    2.671089E-06    1.498000E-06
   125000    1.2500E-01    1.200146E+00    2.570586E-03    5.918365E-08    2.679688E-06    1.489728E-06
   126000    1.2600E-01    1.200172E+00    2.544971E-03    5.886496E-08    2.688056E-06    1.481679E-06
   127000    1.2700E-01    1.200196E+00    2.520247E-03    5.855485E-08    2.696199E-06    1.473846E-06
   128000    1.2800E-01    1.200220E+00    2.496380E-03    5.825314E-08    2.704121E-06    1.466226E-06
   129000    1.2900E-01    1.200243E+00    2.473339E-03    5.795964E-08    2.711827E-06    1.458813E-06
   130000    1.3000E-01    1.200266E+00    2.451092E-03    5.767418E-08    2.719323E-06    1.451603E-06
   131000    1.3100E-01    1.200287E+00    2.429611E-03    5.739656E-08    2.726612E-06    1.444592E-06
   132000    1.3200E-01    1.200308E+00    2.408866E-03    5.712661E-08    2.733699E-06    1.437774E-06
   133000    1.3300E-01    1.200328E+00    2.388831E-03    5.686414E-08    2.740590E-06    1.431146E-06
   134000    1.3400E-01    1.200347E+00    2.369480E-03    5.660899E-08    2.747289E-06    1.424702E-06
   135000    1.3500E-01    1.200366E+00    2.350788E-03    5.636097E-08    2.753801E-06    1.418438E-06
   136000    1.3600E-01    1.200384E+00    2.332730E-03    5.611991E-08    2.760129E-06    1.412351E-06
   137000    1.3700E-01    1.200401E+00    2.315285E-03    5.588565E-08    2.766279E-06    1.406435E-06
   138000    1.3800E-01    1.200418E+00    2.298429E-03    5.565801E-08    2.772256E-06    1.400686E-06
   139000    1.3900E-01    1.200435E+00    2.282142E-03    5.543682E-08    2.778062E-06    1.395101E-06
   140000    1.4000E-01    1.200450E+00    2.266404E-03    5.522194E-08    2.783704E-06    1.389675E-06
   141000    1.4100E-01    1.200465E+00    2.251194E-03    5.501319E-08    2.789184E-06    1.384403E-06
   142000    1.4200E-01    1.200480E+00    2.236494E-03    5.481042E-08    2.794507E-06    1.379283E-06
   143000    1.4300E-01    1.200494E+00    2.222285E-03    5.461347E-08    2.799677E-06    1.374310E-06
   144000    1.4400E-01    1.200508E+00    2.208552E-03    5.442220E-08    2.804698E-06    1.369480E-06
   145000    1.4500E-01    1.200521E+00    2.195275E-03    5.423645E-08    2.809574E-06    1.364790E-06
   146000    1.4600E-01    1.200534E+00    2.182441E-03    5.405609E-08    2.814308E-06    1.360236E-06
   147000    1.4700E-01    1.200547E+00    2.170032E-03    5.388096E-08    2.818905E-06    1.355814E-06
   148000    1.4800E-01    1.200559E+00    2.158035E-03    5.371093E-08    2.823369E-06    1.351520E-06
   149000    1.4900E-01    1.200570E+00    2.146435E-03    5.354586E-08    2.827702E-06    1.347352E-06
   150000    1.5000E-01    1.200581E+00    2.135217E-03    5.338561E-08    2.831908E-06    1.343306E-06
   151000    1.5100E-01    1.200592E+00    2.124370E-03    5.323006E-08    2.835991E-06    1.339379E-06
   152000    1.5200E-01    1.200603E+00    2.113880E-03    5.307908E-08    2.839954E-06    1.335567E-06
   153000    1.5300E-01    1.200613E+00    2.103734E-03    5.293254E-08    2.843801E-06    1.331867E-06
   154000    1.5400E-01    1.200623E+00    2.093922E-03    5.279032E-08    2.847534E-06    1.328276E-06
   155000    1.5500E-01    1.200632E+00    2.084431E-03    5.265231E-08    2.851156E-06    1.324791E-06
   156000    1.5600E-01    1.200641E+00    2.075251E-03    5.251837E-08    2.854672E-06    1.321410E-06
   157000    1.5700E-01    1.200650E+00    2.066370E-03    5.238841E-08    2.858083E-06    1.318128E-06
   158000    1.5800E-01    1.200659E+00    2.057780E-03    5.226230E-08    2.861393E-06    1.314945E-06
   159000    1.5900E-01    1.200667E+00    2.049469E-03    5.213995E-08    2.864605E-06    1.311855E-06
   160000    1.6000E-01    1.200675E+00    2.041429E-03    5.202124E-08    2.867720E-06    1.308858E-06
   161000    1.6100E-01    1.200683E+00    2.033650E-03    5.190607E-08    2.870743E-06    1.305951E-06
   162000    1.6200E-01    1.200691E+00    2.026124E-03    5.179435E-08    2.873676E-06    1.303130E-06
   163000    1.6300E-01    1.200698E+00    2.018842E-03    5.168596E-08    2.876521E-06    1.300394E-06
   164000    1.6400E-01    1.200705E+00    2.011796E-03    5.158082E-08    2.879280E-06    1.297739E-06
   165000    1.6500E-01    1.200712E+00    2.004977E-03    5.147884E-08    2.881957E-06    1.295164E-06
   166000    1.6600E-01    1.200718E+00    1.998379E-03    5.137992E-08    2.884553E-06    1.292667E-06
   167000    1.6700E-01    1.200725E+00    1.991994E-03    5.128397E-08    2.887071E-06    1.290245E-06
   168000    1.6800E-01    1.200731E+00    1.985815E-03    5.119091E-08    2.889514E-06    1.287895E-06
   169000    1.6900E-01    1.200737E+00    1.979835E-03    5.110066E-08    2.891883E-06    1.285617E-06
   170000    1.7000E-01    1.200743E+00    1.974048E-03    5.101313E-08    2.894180E-06    1.283407E-06
   171000    1.7100E-01    1.200748E+00    1.968446E-03    5.092824E-08    2.896408E-06    1.281264E-06
   172000    1.7200E-01    1.200754E+00    1.963025E-03    5.084593E-08    2.898568E-06    1.279186E-06
   173000    1.7300E-01    1.200759E+00    1.957777E-03    5.076610E-08    2.900663E-06    1.277171E-06
   174000    1.7400E-01    1.200764E+00    1.952698E-03    5.068869E-08    2.902695E-06    1.275216E-06
   175000    1.7500E-01    1.200769E+00    1.947782E-03    5.061363E-08    2.904665E-06    1.273321E-06
   176000    1.7600E-01    1.200774E+00    1.943022E-03    5.054084E-08    2.906575E-06    1.271484E-06
   177000    1.7700E-01    1.200778E+00    1.938416E-03    5.047027E-08    2.908427E-06    1.269702E-06
   178000    1.7800E-01    1.200783E+00    1.933956E-03    5.040184E-08    2.910223E-06    1.267975E-06
   179000    1.7900E-01    1.200787E+00    1.929639E-03    5.033550E-08    2.911965E-06    1.266300E-06
   180000    1.8000E-01    1.200791E+00    1.925459E-03    5.027118E-08    2.913653E-06    1.264676E-06
   181000    1.8100E-01    1.200795E+00    1.921413E-03    5.020881E-08    2.915289E-06    1.263102E-06
   182000    1.8200E-01    1.200799E+00    1.917496E-03    5.014835E-08    2.916876E-06    1.261575E-06
   183000    1.8300E-01    1.200803E+00    1.913704E-03    5.008973E-08    2.918415E-06    1.260096E-06
   184000    1.8400E-01    1.200807E+00    1.910032E-03    5.003290E-08    2.919906E-06    1.258661E-06
   185000    1.8500E-01    1.200810E+00    1.906477E-03    4.997781E-08    2.921352E-06    1.257270E-06
   186000    1.8600E-01    1.200814E+00    1.903035E-03    4.992441E-08    2.922754E-06    1.255922E-06
   187000    1.8700E-01    1.200817E+00    1.899703E-03    4.987264E-08    2.924112E-06    1.254615E-06
   188000    1.8800E-01    1.200820E+00    1.896476E-03    4.982245E-08    2.925429E-06    1.253348E-06
   189000    1.8900E-01    1.200823E+00    1.893352E-03    4.977380E-08    2.926706E-06    1.252120E-06
   190000    1.9000E-01    1.200826E+00    1.890326E-03    4.972664E-08    2.927944E-06    1.250930E-06
   191000    1.9100E-01    1.200829E+00    1.887397E-03    4.968093E-08    2.929144E-06    1.249776E-06
   192000    1.9200E-01    1.200832E+00    1.884561E-03    4.963662E-08    2.930306E-06    1.248657E-06
   193000    1.9300E-01    1.200835E+00    1.881814E-03    4.959367E-08    2.931434E-06    1.247573E-06
   194000    1.9400E-01    1.200837E+00    1.879154E-03    4.955204E-08    2.932526E-06    1.246522E-06
   195000    1.9500E-01    1.200840E+00    1.876578E-03    4.951169E-08    2.933585E-06    1.245503E-06
   196000    1.9600E-01    1.200843E+00    1.874084E-03    4.947257E-08    2.934612E-06    1.244516E-06
   197000    1.9700E-01    1.200845E+00    1.871669E-03    4.943467E-08    2.935606E-06    1.243559E-06
   198000    1.9800E-01    1.200847E+00    1.869330E-03    4.939792E-08    2.936571E-06    1.242631E-06
   199000    1.9900E-01    1.200850E+00    1.867065E-03    4.936231E-08    2.937505E-06    1.241732E-06
   200000    2.0000E-01    1.200852E+00    1.864871E-03    4.932780E-08    2.938411E-06    1.240861E-06
   201000    2.0100E-01    1.200854E+00    1.862747E-03    4.929435E-08    2.939289E-06    1.240017E-06
   202000    2.0200E-01    1.200856E+00    1.860689E-03    4.926193E-08    2.940140E-06    1.239198E-06
   203000    2.0300E-01    1.200858E+00    1.858697E-03    4.923051E-08    2.940964E-06    1.238405E-06
   204000    2.0400E-01    1.200860E+00    1.856767E-03    4.920005E-08    2.941764E-06    1.237636E-06
   205000    2.0500E-01    1.200862E+00    1.854898E-03    4.917054E-08    2.942538E-06    1.236891E-06
   206000    2.0600E-01    1.200864E+00    1.853088E-03    4.914194E-08    2.943289E-06    1.236169E-06
   207000    2.0700E-01    1.200865E+00    1.851335E-03    4.911422E-08    2.944016E-06    1.235470E-06
   208000    2.0800E-01    1.200867E+00    1.849637E-03    4.908736E-08    2.944721E-06    1.234792E-06
   209000    2.0900E-01    1.200869E+00    1.847993E-03    4.906132E-08    2.945404E-06    1.234134E-06
   210000    2.1000E-01    1.200870E+00    1.846400E-03    4.903609E-08    2.946066E-06    1.233498E-06
   211000    2.1100E-01    1.200872E+00    1.844857E-03    4.901164E-08    2.946708E-06    1.232880E-06
   212000    2.1200E-01    1.200873E+00    1.843363E-03    4.898795E-08    2.947330E-06    1.232282E-06
   213000    2.1300E-01    1.200875E+00    1.841916E-03    4.896499E-08    2.947932E-06    1.231703E-06
   214000    2.1400E-01    1.200876E+00    1.840515E-03    4.894274E-08    2.948516E-06    1.231141E-06
   215000    2.1500E-01    1.200877E+00    1.839157E-03    4.892117E-08    2.949082E-06    1.230597E-06
   216000    2.1600E-01    1.200879E+00    1.837842E-03    4.890028E-08    2.949631E-06    1.230069E-06
   217000    2.1700E-01    1.200880E+00    1.836568E-03    4.888003E-08    2.950162E-06    1.229558E-06
   218000    2.1800E-01    1.200881E+00    1.835335E-03    4.886041E-08    2.950677E-06    1.229063E-06
   219000    2.1900E-01    1.200883E+00    1.834140E-03    4.884139E-08    2.951176E-06    1.228583E-06
   220000    2.2000E-01    1.200884E+00    1.832982E-03    4.882297E-08    2.951659E-06    1.228118E-06
   221000    2.2100E-01    1.200885E+00    1.831861E-03    4.880511E-08    2.952128E-06    1.227667E-06
   222000    2.2200E-01    1.200886E+00    1.830775E-03    4.878781E-08    2.952582E-06    1.227230E-06
   223000    2.2300E-01    1.200887E+00    1.829723E-03    4.877104E-08    2.953022E-06    1.226807E-06
   224000    2.2400E-01    1.200888E+00    1.828704E-03    4.875480E-08    2.953448E-06    1.226397E-06
   225000    2.2500E-01    1.200889E+00    1.827717E-03    4.873906E-08    2.953862E-06    1.225999E-06
   226000    2.2600E-01    1.200890E+00    1.826761E-03    4.872380E-08    2.954262E-06    1.225614E-06
   227000    2.2700E-01    1.200891E+00    1.825835E-03    4.870902E-08    2.954650E-06    1.225241E-06
   228000    2.2800E-01    1.200892E+00    1.824938E-03    4.869470E-08    2.955026E-06    1.224880E-06
   229000    2.2900E-01    1.200893E+00    1.824069E-03    4.868082E-08    2.955390E-06    1.224529E-06
   230000    2.3000E-01    1.200893E+00    1.823227E-03    4.866737E-08    2.955743E-06    1.224190E-06
   231000    2.3100E-01    1.200894E+00    1.822412E-03    4.865434E-08    2.956085E-06    1.223861E-06
   232000    2.3200E-01    1.200895E+00    1.821622E-03    4.864171E-08    2.956416E-06    1.223542E-06
   233000    2.3300E-01    1.200896E+00    1.820857E-03    4.862948E-08    2.956737E-06    1.223233E-06
   234000    2.3400E-01    1.200897E+00    1.820116E-03    4.861763E-08    2.957048E-06    1.222934E-06
   235000    2.3500E-01    1.200897E+00    1.819398E-03    4.860614E-08    2.957350E-06    1.222644E-06
   236000    2.3600E-01    1.200898E+00    1.818702E-03    4.859501E-08    2.957642E-06    1.222363E-06
   237000    2.3700E-01    1.200899E+00    1.818029E-03    4.858422E-08    2.957925E-06    1.222091E-06
   238000    2.3800E-01    1.200899E+00    1.817376E-03    4.857377E-08    2.958199E-06    1.221827E-06
   239000    2.3900E-01    1.200900E+00    1.816744E-03    4.856365E-08    2.958465E-06    1.221572E-06
   240000    2.4000E-01    1.200901E+00    1.816131E-03    4.855384E-08    2.958722E-06    1.221324E-06
   241000    2.4100E-01    1.200901E+00    1.815538E-03    4.854433E-08    2.958972E-06    1.221084E-06
   242000    2.4200E-01    1.200902E+00    1.814963E-03    4.853512E-08    2.959213E-06    1.220852E-06
   243000    2.4300E-01    1.200902E+00    1.814406E-03    4.852620E-08    2.959448E-06    1.220626E-06
   244000    2.4400E-01    1.200903E+00    1.813867E-03    4.851755E-08    2.959674E-06    1.220408E-06
   245000    2.4500E-01    1.200903E+00    1.813345E-03    4.850917E-08    2.959894E-06    1.220197E-06
   246000    2.4600E-01    1.200904E+00    1.812838E-03    4.850106E-08    2.960107E-06    1.219992E-06
   247000    2.4700E-01    1.200904E+00    1.812348E-03    4.849319E-08    2.960314E-06    1.219793E-06
   248000    2.4800E-01    1.200905E+00    1.811873E-03    4.848557E-08    2.960514E-06    1.219601E-06
   249000    2.4900E-01    1.200905E+00    1.811413E-03    4.847819E-08    2.960708E-06    1.219414E-06
   250000    2.5000E-01    1.200906E+00    1.810967E-03    4.847103E-08    2.960895E-06    1.219234E-06
   251000    2.5100E-01    1.200906E+00    1.810535E-03    4.846410E-08    2.961077E-06    1.219059E-06
   252000    2.5200E-01    1.200907E+00    1.810117E-03    4.845738E-08    2.961253E-06    1.218889E-06
   253000    2.5300E-01    1.200907E+00    1.809712E-03    4.845088E-08    2.961424E-06    1.218725E-06
   254000    2.5400E-01    1.200907E+00    1.809319E-03    4.844457E-08    2.961590E-06    1.218566E-06
   255000    2.5500E-01    1.200908E+00    1.808939E-03    4.843846E-08    2.961750E-06    1.218412E-06
   256000    2.5600E-01    1.200908E+00    1.808570E-03    4.843254E-08    2.961905E-06    1.218262E-06
   257000    2.5700E-01    1.200908E+00    1.808213E-03    4.842681E-08    2.962056E-06    1.218117E-06
   258000    2.5800E-01    1.200909E+00    1.807867E-03    4.842125E-08    2.962202E-06    1.217977E-06
