iteration          time             xO2              xO          xE(s1)          xO(s1)         xO2(s1)
     6100    6.1000E-07    1.082448E+00    1.202686E-01    1.299642E-07    7.265895E-07    3.372046E-06
     6200    6.2000E-07    1.082448E+00    1.202686E-01    1.299503E-07    7.269698E-07    3.371680E-06
     6300    6.3000E-07    1.082448E+00    1.202685E-01    1.299371E-07    7.273307E-07    3.371332E-06
     6400    6.4000E-07    1.082448E+00    1.202685E-01    1.299245E-07    7.276731E-07    3.371002E-06
     6500    6.5000E-07    1.082448E+00    1.202684E-01    1.299126E-07    7.279980E-07    3.370689E-06
     6600    6.6000E-07    1.082448E+00    1.202684E-01    1.299013E-07    7.283064E-07    3.370392E-06
     6700    6.7000E-07    1.082448E+00    1.202683E-01    1.298906E-07    7.285989E-07    3.370110E-06
     6800    6.8000E-07    1.082448E+00    1.202683E-01    1.298805E-07    7.288765E-07    3.369843E-06
     6900    6.9000E-07    1.082448E+00    1.202682E-01    1.298708E-07    7.291399E-07    3.369589E-06
     7000    7.0000E-07    1.082448E+00    1.202682E-01    1.298617E-07    7.293899E-07    3.369348E-06
     7100    7.1000E-07    1.082449E+00    1.202681E-01    1.298530E-07    7.296271E-07    3.369120E-06
     7200    7.2000E-07    1.082449E+00    1.202681E-01    1.298447E-07    7.298521E-07    3.368903E-06
     7300    7.3000E-07    1.082449E+00    1.202680E-01    1.298369E-07    7.300657E-07    3.368697E-06
     7400    7.4000E-07    1.082449E+00    1.202680E-01    1.298295E-07    7.302683E-07    3.368502E-06
     7500    7.5000E-07    1.082449E+00    1.202679E-01    1.298224E-07    7.304606E-07    3.368317E-06
     7600    7.6000E-07    1.082449E+00    1.202679E-01    1.298158E-07    7.306431E-07    3.368141E-06
     7700    7.7000E-07    1.082449E+00    1.202678E-01    1.298094E-07    7.308162E-07    3.367974E-06
     7800    7.8000E-07    1.082449E+00    1.202678E-01    1.298034E-07    7.309805E-07    3.367816E-06
     7900    7.9000E-07    1.082449E+00    1.202677E-01    1.297977E-07    7.311364E-07    3.367666E-06
     8000    8.0000E-07    1.082449E+00    1.202677E-01    1.297923E-07    7.312843E-07    3.367523E-06
     8100    8.1000E-07    1.082449E+00    1.202676E-01    1.297871E-07    7.314247E-07    3.367388E-06
     8200    8.2000E-07    1.082449E+00    1.202676E-01    1.297823E-07    7.315579E-07    3.367260E-06
     8300    8.3000E-07    1.082449E+00    1.202675E-01    1.297776E-07    7.316843E-07    3.367138E-06
     8400    8.4000E-07    1.082449E+00    1.202675E-01    1.297732E-07    7.318042E-07    3.367023E-06
     8500    8.5000E-07    1.082449E+00    1.202674E-01    1.297691E-07    7.319180E-07    3.366913E-06
     8600    8.6000E-07    1.082449E+00    1.202674E-01    1.297651E-07    7.320260E-07    3.366809E-06
     8700    8.7000E-07    1.082449E+00    1.202673E-01    1.297614E-07    7.321285E-07    3.366710E-06
     8800    8.8000E-07    1.082449E+00    1.202673E-01    1.297578E-07    7.322257E-07    3.366616E-06
     8900    8.9000E-07    1.082449E+00    1.202672E-01    1.297544E-07    7.323180E-07    3.366528E-06
     9000    9.0000E-07    1.082449E+00    1.202672E-01    1.297512E-07    7.324055E-07    3.366443E-06
     9100    9.1000E-07    1.082450E+00    1.202671E-01    1.297482E-07    7.324886E-07    3.366363E-06
     9200    9.2000E-07    1.082450E+00    1.202671E-01    1.297453E-07    7.325674E-07    3.366287E-06
     9300    9.3000E-07    1.082450E+00    1.202670E-01    1.297425E-07    7.326423E-07    3.366215E-06
     9400    9.4000E-07    1.082450E+00    1.202670E-01    1.297399E-07    7.327132E-07    3.366147E-06
     9500    9.5000E-07    1.082450E+00    1.202669E-01    1.297375E-07    7.327806E-07    3.366082E-06
     9600    9.6000E-07    1.082450E+00    1.202669E-01    1.297351E-07    7.328445E-07    3.366020E-06
     9700    9.7000E-07    1.082450E+00    1.202668E-01    1.297329E-07    7.329052E-07    3.365962E-06
     9800    9.8000E-07    1.082450E+00    1.202668E-01    1.297308E-07    7.329627E-07    3.365906E-06
     9900    9.9000E-07    1.082450E+00    1.202667E-01    1.297288E-07    7.330173E-07    3.365854E-06
    10000    1.0000E-06    1.082450E+00    1.202667E-01    1.297269E-07    7.330692E-07    3.365804E-06
