iteration          time             xO2              xO          xE(s1)          xO(s1)         xO2(s1)
       62    6.2000E-09    1.082445E+00    1.202716E-01    2.515510E-06    2.366211E-07    1.476469E-06
       63    6.3000E-09    1.082445E+00    1.202716E-01    2.494618E-06    2.395288E-07    1.494454E-06
       64    6.4000E-09    1.082445E+00    1.202716E-01    2.473909E-06    2.424117E-07    1.512280E-06
       65    6.5000E-09    1.082445E+00    1.202716E-01    2.453381E-06    2.452701E-07    1.529949E-06
       66    6.6000E-09    1.082445E+00    1.202716E-01    2.433034E-06    2.481042E-07    1.547462E-06
       67    6.7000E-09    1.082445E+00    1.202716E-01    2.412866E-06    2.509141E-07    1.564820E-06
       68    6.8000E-09    1.082445E+00    1.202716E-01    2.392874E-06    2.537001E-07    1.582025E-06
       69    6.9000E-09    1.082445E+00    1.202716E-01    2.373059E-06    2.564624E-07    1.599079E-06
       70    7.0000E-09    1.082445E+00    1.202716E-01    2.353417E-06    2.592013E-07    1.615982E-06
       71    7.1000E-09    1.082445E+00    1.202716E-01    2.333947E-06    2.619169E-07    1.632736E-06
       72    7.2000E-09    1.082445E+00    1.202716E-01    2.314648E-06    2.646093E-07    1.649342E-06
       73    7.3000E-09    1.082445E+00    1.202716E-01    2.295519E-06    2.672789E-07    1.665802E-06
       74    7.4000E-09    1.082445E+00    1.202716E-01    2.276558E-06    2.699259E-07    1.682116E-06
       75    7.5000E-09    1.082445E+00    1.202716E-01    2.257763E-06    2.725503E-07    1.698287E-06
       76    7.6000E-09    1.082445E+00    1.202716E-01    2.239133E-06    2.751525E-07    1.714315E-06
       77    7.7000E-09    1.082445E+00    1.202716E-01    2.220666E-06    2.777326E-07    1.730201E-06
       78    7.8000E-09    1.082445E+00    1.202716E-01    2.202362E-06    2.802908E-07    1.745947E-06
       79    7.9000E-09    1.082445E+00    1.202716E-01    2.184218E-06    2.828273E-07    1.761554E-06
       80    8.0000E-09    1.082445E+00    1.202716E-01    2.166234E-06    2.853423E-07    1.777024E-06
       81    8.1000E-09    1.082445E+00    1.202716E-01    2.148408E-06    2.878359E-07    1.792357E-06
       82    8.2000E-09    1.082445E+00    1.202716E-01    2.130738E-06    2.903085E-07    1.807554E-06
       83    8.3000E-09    1.082445E+00    1.202716E-01    2.113223E-06    2.927600E-07    1.822617E-06
       84    8.4000E-09    1.082445E+00    1.202716E-01    2.095861E-06    2.951909E-07    1.837548E-06
       85    8.5000E-09    1.082445E+00    1.202716E-01    2.078653E-06    2.976011E-07    1.852346E-06
       86    8.6000E-09    1.082445E+00    1.202716E-01    2.061595E-06    2.999909E-07    1.867014E-06
       87    8.7000E-09    1.082445E+00    1.202716E-01    2.044687E-06    3.023605E-07    1.881553E-06
       88    8.8000E-09    1.082445E+00    1.202716E-01    2.027927E-06    3.047101E-07    1.895963E-06
       89    8.9000E-09    1.082445E+00    1.202716E-01    2.011315E-06    3.070398E-07    1.910245E-06
       90    9.0000E-09    1.082445E+00    1.202716E-01    1.994848E-06    3.093498E-07    1.924402E-06
       91    9.1000E-09    1.082445E+00    1.202716E-01    1.978526E-06    3.116402E-07    1.938434E-06
       92    9.2000E-09    1.082445E+00    1.202716E-01    1.962347E-06    3.139113E-07    1.952342E-06
       93    9.3000E-09    1.082445E+00    1.202716E-01    1.946310E-06    3.161632E-07    1.966127E-06
       94    9.4000E-09    1.082445E+00    1.202716E-01    1.930414E-06    3.183961E-07    1.979790E-06
       95    9.5000E-09    1.082445E+00    1.202716E-01    1.914658E-06    3.206102E-07    1.993332E-06
       96    9.6000E-09    1.082445E+00    1.202716E-01    1.899039E-06    3.228056E-07    2.006755E-06
       97    9.7000E-09    1.082445E+00    1.202716E-01    1.883558E-06    3.249824E-07    2.020059E-06
       98    9.8000E-09    1.082445E+00    1.202716E-01    1.868213E-06    3.271409E-07    2.033246E-06
       99    9.9000E-09    1.082445E+00    1.202716E-01    1.853002E-06    3.292812E-07    2.046317E-06
      100    1.0000E-08    1.082445E+00    1.202716E-01    1.837925E-06    3.314034E-07    2.059271E-06
